name,url,paradigms
A# .NET,http://en.wikipedia.org/wiki/A_Sharp_(.NET),
A# (Axiom),http://en.wikipedia.org/wiki/A_Sharp_(Axiom),"['multi-paradigm', 'object-oriented', 'functional']"
A-0 System,http://en.wikipedia.org/wiki/A-0_System,
A+,http://en.wikipedia.org/wiki/A%2B_(programming_language),['array']
A++,http://en.wikipedia.org/wiki/A%2B%2B,
ABAP,http://en.wikipedia.org/wiki/ABAP,"['object-oriented', 'structured', 'imperative']"
ABC,http://en.wikipedia.org/wiki/ABC_(programming_language),"['multi-paradigm', 'imperative', 'procedural', 'structured']"
ABC ALGOL,http://en.wikipedia.org/wiki/ABC_ALGOL,
ABLE,http://en.wikipedia.org/wiki/ABLE_(programming_language),
ABSET,http://en.wikipedia.org/wiki/ABSET,
ABSYS,http://en.wikipedia.org/wiki/ABSYS,['logic programming']
ACC,http://en.wikipedia.org/wiki/ACC_(programming_language),
Accent,http://en.wikipedia.org/wiki/Accent_(programming_language),
Ace DASL,http://en.wikipedia.org/wiki/Distributed_Application_Specification_Language,
ACL2,http://en.wikipedia.org/wiki/ACL2,"['functional', 'metaprogramming']"
ACT-III,http://en.wikipedia.org/wiki/LGP-30#ACT-III_programming_language,
Action!,http://en.wikipedia.org/wiki/Action!_(programming_language),
ActionScript,http://en.wikipedia.org/wiki/ActionScript,"['multi-paradigm', 'object-oriented', 'prototype-based', 'functional', 'imperative', 'scripting']"
Ada,http://en.wikipedia.org/wiki/Ada_(programming_language),['multi-paradigm']
Adenine,http://en.wikipedia.org/wiki/Adenine_(programming_language),
Agda,http://en.wikipedia.org/wiki/Agda_(theorem_prover),['functional']
Agilent VEE,http://en.wikipedia.org/wiki/Agilent_VEE,
Agora,http://en.wikipedia.org/wiki/Agora_(programming_language),
AIMMS,http://en.wikipedia.org/wiki/AIMMS,
Alef,http://en.wikipedia.org/wiki/Alef_(programming_language),"['compiled', 'concurrent', 'structured']"
ALF,http://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language,"['multi-paradigm', 'logic', 'functional']"
ALGOL 58,http://en.wikipedia.org/wiki/ALGOL_58,"['procedural', 'imperative', 'structured']"
ALGOL 60,http://en.wikipedia.org/wiki/ALGOL_60,"['procedural', 'imperative', 'structured']"
ALGOL 68,http://en.wikipedia.org/wiki/ALGOL_68,"['multi-paradigm', 'concurrent', 'imperative']"
ALGOL W,http://en.wikipedia.org/wiki/ALGOL_W,"['procedural', 'imperative', 'structured']"
Alice,http://en.wikipedia.org/wiki/Alice_(programming_language),"['multi-paradigm', 'imperative', 'functional', 'distributed', 'concurrent']"
Alma-0,http://en.wikipedia.org/wiki/Alma-0,"['multi-paradigm', 'constraint', 'imperative', 'logic']"
AmbientTalk,http://en.wikipedia.org/wiki/AmbientTalk,"['object-oriented', 'prototype-based', 'concurrent', 'event-driven', 'reflective']"
Amiga E,http://en.wikipedia.org/wiki/Amiga_E,
AMOS,http://en.wikipedia.org/wiki/AMOS_(programming_language),"['imperative', 'procedural']"
